nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Leonberger,Europa Alemania,Grupo II,Rústico Musculoso Proporcionado,Gigante,70-80,45-100,12-14,Media,Fuerte Muy fiel Tranquilo Dominante,Niños Casas Vigilancia,Arnés,Frío,Largo Liso,Alto
Pinscher miniatura,Europa Alemania,Grupo II,,Pequeño,15-35,3-10,12-14,Media,Activo Cariñoso,Pisos Casas,,Temperado,Corto Liso,
Tosa inu,Asia Japón,Grupo II,Rústico Musculoso Alargado,Grande,55-70,45-100,10-12,Media,Equilibrado Muy fiel Inteligente Cariñoso Tranquilo Dominante,Casas Senderismo,Bozal Arnés,Temperado,Corto Duro Grueso,
Alabai,Asia,Grupo II,Musculoso,Grande,55-70,45-100,12-14,Baja,Equilibrado Fuerte Dominante,Casas Vigilancia,,,Liso Grueso,
Schnauzer miniatura,Europa Alemania,Grupo II,Rústico Proporcionado,Pequeño,15-35,3-10,12-14,Media,Equilibrado Sociable Inteligente Activo Cariñoso,Pisos Casas Personas mayores Personas alérgicas,,Temperado,Medio Duro Grueso,
Dóberman pinscher,Europa Alemania,Grupo II,Fino Musculoso Alargado Orejas largas,Grande,70-80,25-45,12-14,Alta,Equilibrado Muy fiel Inteligente Activo,Pisos Casas Senderismo Vigilancia Terapia Deporte,Bozal Arnés,Temperado,Corto Liso Fino Seco,
Pinscher austriaco,Europa Austria,Grupo II,Musculoso Proporcionado,Mediano,45-55,10-25,12-14,Alta,Sociable Activo,Pisos Casas,,Temperado,Corto Medio Liso Grueso,
Mastín español o mastín leonés,Europa España,Grupo II,Rústico Musculoso Orejas largas,Gigante,70-80,45-100,12-14,Alta,Equilibrado Muy fiel Inteligente Cariñoso Tranquilo Dócil,Niños Casas Senderismo Pastor Vigilancia,Arnés,Temperado,Medio Grueso,
Alano español,Europa España,Grupo II,Rústico Musculoso Proporcionado Orejas cortas,Mediano,55-70,25-45,10-12,Media,Equilibrado Fuerte Muy fiel Activo Tranquilo Dominante,Pisos Casas Senderismo Caza Deporte,,Temperado,Corto Grueso,
Bóxer,Europa Alemania,Grupo II,Musculoso Proporcionado,Mediano,55-70,25-45,8-10,Alta,Equilibrado Sociable Muy fiel Activo Cariñoso,Niños Pisos Casas Senderismo Vigilancia,Arnés,Temperado,,
