nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Jack russell terrier,Europa Reino Unido,Grupo III,Musculoso Alargado Patas cortas Orejas largas,Pequeño,15-35,3-10,12-14,Alta,Sociable Muy fiel Inteligente Activo,Pisos Casas Senderismo Caza,,Temperado,Corto Liso Duro,
Silky terrier australiano,Oceania Australia,Grupo III,Musculoso Patas cortas Orejas cortas,Pequeño,15-35,3-10,12-14,Alta,Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Senderismo Caza,,Temperado,Largo Liso Fino,Medio
Fox terrier de pelo duro,Europa Reino Unido,Grupo III,Fino Proporcionado Orejas cortas,Pequeño,35-45,3-10,12-14,Alta,Muy fiel Activo Dominante,Pisos Casas Senderismo Caza Deporte,,Temperado,Corto Rizado Duro Grueso,
Manchester terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Proporcionado,Pequeño,35-45,3-10,15-20,Alta,Fuerte Muy fiel Inteligente Activo Cariñoso,Niños Pisos Casas Senderismo Vigilancia,Arnés,Temperado,Corto Liso Duro,
Terrier tibetano,Asia China,Grupo III,Alargado Patas cortas Orejas cortas,Mediano,35-45,3-10,12-14,Media,Tímido Muy fiel Cariñoso Tranquilo,Niños Casas Terapia,,Frío,Largo Liso,
Dandie dinmont terrier,Europa Reino Unido,Grupo III,Rústico Musculoso Alargado Patas cortas,Pequeño,15-35,3-10,12-14,Alta,Fuerte Sociable Muy fiel Inteligente Activo Dócil,Niños Pisos Casas Senderismo Caza Vigilancia Personas con discapacidad Terapia Personas mayores Personas alérgicas Deporte,,Temperado,Largo Duro Grueso,
Terrier australiano,Oceania Australia,Grupo III,Rústico Alargado Patas cortas,Pequeño,15-35,3-10,12-14,Baja,Activo,Pisos Casas,,,Largo Liso Seco,
American staffordshire terrier,América Europa Estados Unidos Reino Unido,Grupo III,Rústico Musculoso Orejas cortas,Mediano,45-55,25-45,12-14,Alta,Equilibrado Sociable Muy fiel,Niños Casas Caza Pastor Vigilancia,Bozal,Temperado,,
Biewer yorkshire terrier,Europa Alemania,Grupo III,Fino Musculoso Proporcionado Orejas cortas,Pequeño,15-35,1-3,12-14,Alta,Inteligente Activo Cariñoso,Niños Pisos Casas Vigilancia Personas mayores,,Temperado,Largo Liso Fino,
Lakeland terrier,Europa Reino Unido,Grupo III,Fino Proporcionado Orejas cortas,Mediano,35-45,3-10,12-14,Media,Sociable Muy fiel Activo Cariñoso,Casas Senderismo Caza Vigilancia,,Temperado,Medio Duro,
Soft coated wheaten terrier irlandés,Europa Irlanda,Grupo III,Proporcionado,Mediano,45-55,10-25,12-14,Alta,Sociable Activo,Pisos Senderismo Deporte,,Temperado,Medio Rizado Fino,
Yorkshire terrier,Europa Reino Unido,Grupo III,Fino Proporcionado Orejas largas,Pequeño,15-35,1-3,15-20,Media,Equilibrado Sociable Inteligente Activo Cariñoso,Niños Pisos Casas Senderismo Vigilancia Personas mayores Personas alérgicas,,Temperado,Medio Largo Liso Fino Graso,
