nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Bulldog francés,Europa Francia,Grupo IX,Rústico Musculoso Orejas largas,Mediano,15-35,3-10,10-12,Media,Sociable Muy fiel Activo Cariñoso,Niños Pisos Casas Personas mayores,,Temperado,Corto Liso Fino,
Chihuahua,América México,Grupo IX,Fino Proporcionado,Toy,15-35,1-3,15-20,Media,Sociable Muy fiel Inteligente Activo Cariñoso,Niños Pisos Vigilancia,,Temperado,Corto Largo,
Shih tzu,Asia China,Grupo IX,Proporcionado Orejas largas,Pequeño,15-35,3-10,12-14,Media,Sociable Inteligente Activo Cariñoso,Niños Pisos Casas,,Temperado,Largo Liso Grueso,
Bichón maltés,Europa Croacia Italia Malta,Grupo IX,Proporcionado Patas cortas,Toy,15-35,1-3,12-14,Baja,Equilibrado Sociable Inteligente Activo Cariñoso,Pisos Vigilancia,,Temperado,Largo,
Cavalier King Charles Spaniel,Europa Reino Unido,Grupo IX,Fino Proporcionado Orejas largas,Pequeño,15-35,3-10,10-12,Media,Equilibrado Sociable Inteligente Cariñoso Dócil,Niños Pisos Casas Terapia Personas mayores,,Temperado,Largo Liso Fino,
Bichón frisé,Europa Bélgica Francia,Grupo IX,Fino Musculoso Proporcionado,Pequeño,15-35,3-10,12-14,Media,Sociable Inteligente Activo Cariñoso,Pisos Casas Personas mayores,,Temperado,Largo Rizado Fino,
Caniche o poodle mediano,Europa Francia,Grupo IX,Fino Musculoso Proporcionado Orejas largas,Mediano,35-45,3-10,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Tranquilo,Niños Pisos Casas Senderismo Caza Terapia Personas mayores Personas alérgicas Deporte,,Temperado,Largo Rizado Fino,
Caniche o poodle toy,Europa Francia,Grupo IX,Fino Proporcionado Orejas largas,Toy,15-35,1-3,12-14,Alta,Equilibrado Sociable Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Caza Vigilancia Personas mayores Deporte,,Temperado,Medio Largo Rizado Fino,
Caniche o poodle enano,Europa Francia,Grupo IX,Fino Musculoso Proporcionado Orejas largas,Pequeño,15-35,,12-14,Media,Equilibrado Tímido Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Senderismo Caza Pastor Vigilancia,,,Medio Rizado Fino,
Spaniel Tibetano,Asia China,Grupo IX,Fino Proporcionado Alargado Patas cortas Orejas cortas,Pequeño,15-35,3-10,12-14,Baja,Equilibrado Tímido Muy fiel Inteligente Tranquilo,Niños Pisos Casas Vigilancia,,Temperado,Largo Fino,
Caniche gigante o poodle estándar,Europa Francia,Grupo IX,Proporcionado Orejas largas,Grande,55-70,10-25,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Personas mayores,,Temperado,Largo Rizado Fino,
Pug o carlino,Asia China,Grupo IX,Musculoso Orejas cortas,Pequeño,15-35,3-10,12-14,Media,Equilibrado Inteligente Activo Cariñoso,Niños Pisos Casas,,Temperado,Corto Liso Fino,
Bichón habanero,Europa España Italia,Grupo IX,Fino Alargado,Pequeño,35-45,3-10,,,,,,,,
Bichón boloñés,Europa Italia,Grupo IX,Fino Proporcionado Orejas largas,Pequeño,15-35,3-10,12-14,Media,Equilibrado Muy fiel Inteligente Cariñoso Tranquilo Dócil,Niños Pisos Casas Personas mayores,,Temperado,Largo Rizado Fino Seco,
Grifón belga,Europa Bélgica,Grupo IX,Rústico,Pequeño,15-35,3-10,12-14,Alta,Sociable Muy fiel Activo,Pisos Casas,,Temperado,Medio Liso Duro,
Petit brabançon,Europa Bélgica,Grupo IX,Rústico,Pequeño,15-35,3-10,12-14,Alta,Sociable Muy fiel Activo,Pisos Casas,,Temperado,Corto Liso Duro,
Grifón de Bruselas,Europa Bélgica,Grupo IX,Rústico,Pequeño,15-35,3-10,12-14,Alta,Sociable Muy fiel Activo,Pisos Casas,,Temperado,Medio Liso Duro,
Perro crestado chino,Asia Europa China Reino Unido,Grupo IX,Fino Proporcionado Orejas cortas,Pequeño,15-35,3-10,12-14,Media,Tímido Muy fiel Inteligente Activo Dócil,Pisos Casas Personas mayores,,Temperado,Sin pelo Largo Liso Fino,
El perro pekinés,Asia China,Grupo IX,Rústico Musculoso,Pequeño,35-45,3-10,12-14,Baja,Tímido Pasivo Tranquilo Dominante,Pisos Casas Vigilancia Personas mayores,,Frío,Largo Liso Fino,
Pequeño perro león,Europa Francia,Grupo IX,Musculoso,Pequeño,15-35,3-10,12-14,Media,Activo Cariñoso Tranquilo,Niños Pisos Casas,,Temperado,Largo Grueso,
Boston terrier,América Estados Unidos,Grupo IX,Rústico Musculoso,,35-45,3-10,12-14,Baja,Sociable Muy fiel Inteligente Cariñoso,Niños Pisos Casas,,Temperado,Corto Liso Fino,
Coton de Tuléar,África Madagascar,Grupo IX,Fino Alargado Patas cortas Orejas largas,Pequeño,15-35,3-10,12-14,Media,Sociable Inteligente Activo Cariñoso,Niños Pisos Personas mayores,,Temperado,Largo Liso Fino,
Lhasa apso,Asia China,Grupo IX,Patas cortas Orejas largas,Pequeño,15-35,3-10,15-20,Media,Equilibrado Tímido Pasivo Inteligente Dominante,Casas Senderismo Vigilancia Deporte,,Temperado,Largo Liso Fino Graso,
Papillón,Europa Bélgica Francia,Grupo IX,Fino Patas cortas Orejas largas,Pequeño,15-35,3-10,12-14,Media,Sociable Activo Cariñoso,Pisos Casas Vigilancia,,Temperado,Medio Largo,
