nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Husky siberiano,Asia Europa Rusia,Grupo V,Rústico Musculoso Proporcionado,Grande,55-70,25-45,10-12,Alta,Equilibrado Tímido Muy fiel Inteligente Activo Cariñoso,Casas Senderismo Pastor Vigilancia,Arnés,Frío,Largo,
Pomerania,Europa Alemania Polonia,Grupo V,Proporcionado,Toy,15-35,1-3,12-14,Media,Sociable Muy fiel Inteligente Activo Cariñoso,Niños Pisos Casas Personas alérgicas,,Temperado,Largo Liso Fino,
Alaskan malamute o malamute de Alaska,América Estados Unidos,Grupo V,Rústico Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,10-12,Media,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso,Niños Casas Vigilancia Personas con discapacidad,Bozal Arnés,Frío,Largo,
Perro sueco de Laponia,Europa Suecia,Grupo V,Rústico Proporcionado Orejas cortas,Mediano,45-55,10-25,12-14,Alta,Sociable Inteligente Activo,Casas Senderismo Pastor Vigilancia,Arnés,Frío,Largo Liso,
Basenji,África Europa Reino Unido,Grupo V,Musculoso Proporcionado Patas cortas,Pequeño,35-45,3-10,12-14,Media,Equilibrado Activo,Pisos Casas Caza,,Temperado,Corto Fino,
Pastor islandés,Europa Islandia,Grupo V,,Pequeño,35-45,10-25,12-14,Alta,Sociable Inteligente Activo Cariñoso,Niños Casas Senderismo Pastor,,,Medio Largo,
Perro del faraón,Europa Malta,Grupo V,Fino Musculoso Alargado Orejas largas,Mediano,45-55,10-25,12-14,Alta,Muy fiel Inteligente Activo,Casas Caza,,Temperado,Corto,
Shiba Inu,Asia Japón,Grupo V,Rústico Musculoso Orejas cortas,Pequeño,35-45,3-10,12-14,Alta,Tímido Muy fiel Inteligente Activo,Niños Pisos Casas Senderismo Vigilancia,,Frío,Corto,
Perro peruano,América Perú,Grupo V,Fino Musculoso Proporcionado,Pequeño,35-45,3-10,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Cariñoso Tranquilo Dócil,Niños Pisos Casas Personas alérgicas,,Temperado,Sin pelo,
Alusky,América Estados Unidos,Grupo V,Rústico Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,12-14,Alta,Equilibrado Tímido Fuerte Inteligente Activo Cariñoso Dominante,Casas Caza,,Frío,Medio Grueso,
Chow chow,Asia China Mongolia,Grupo V,Rústico Musculoso Proporcionado Orejas cortas,Mediano,45-55,25-45,10-12,Baja,Equilibrado Muy fiel Tranquilo,Niños Pisos Casas Caza Pastor Vigilancia,Arnés,Frío,Medio Largo Liso,
Keeshond,"Europa Alemania Países Bajos, Holanda",Grupo V,Proporcionado,Mediano,45-55,25-45,12-14,Baja,Sociable Muy fiel Inteligente Activo,Pisos Vigilancia,,Temperado,Largo Liso,
Shikoku inu,Asia Japón,Grupo V,Musculoso Proporcionado Orejas cortas,Mediano,45-55,10-25,10-12,Alta,Tímido Fuerte Muy fiel Inteligente Activo Dócil,Casas Senderismo Caza Deporte,,Frío,Medio Duro Grueso,
Podenco ibicenco,Europa España,Grupo V,Fino,Mediano,55-70,10-25,10-12,Alta,Inteligente Activo,Senderismo Caza,,Temperado,Corto Liso,
Akita inu o akita japonés,Asia Japón,Grupo V,Rústico Musculoso Orejas cortas,Grande,55-70,25-45,12-14,Media,Equilibrado Tímido Pasivo Muy fiel Inteligente Activo,Niños Pisos Casas Senderismo Caza Vigilancia,Bozal Arnés,Frío,Largo,
Perro de Groenlandia,América Canadá Groenlandia,Grupo V,Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,10-12,Alta,Equilibrado Fuerte Inteligente Activo Dócil,Casas Senderismo Caza Deporte,,Frío,Largo Duro Grueso,
Akita Americano,América Asia Canadá Estados Unidos Japón,Grupo V,Fino Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,12-14,Alta,Equilibrado Tímido Muy fiel Inteligente Activo,Niños Casas Senderismo Caza Vigilancia,Bozal Arnés,Frío,Medio,
Perro de Chindo o Jindo coreano,Asia Corea del Sur,Grupo V,Rústico Musculoso Proporcionado,Mediano,45-55,10-25,10-12,Alta,Fuerte Muy fiel Inteligente Activo Tranquilo,Senderismo Caza Vigilancia Deporte,,Frío,Corto Liso Duro Grueso,
Spitz de Norrbotten,Europa Suecia,Grupo V,Musculoso Proporcionado Orejas cortas,Mediano,35-45,10-25,15-20,Alta,Muy fiel Inteligente Activo,Casas Senderismo Vigilancia Deporte,,Frío,Corto Duro,
Vallhund sueco,Europa Suecia,Grupo V,Rústico Alargado Patas cortas Orejas cortas,Pequeño,15-35,10-25,12-14,Media,Sociable Activo,Caza Pastor Vigilancia,,Frío,Medio Liso Duro Grueso,
Kishu inu o kishu ken,Asia Japón,Grupo V,Musculoso Proporcionado Orejas cortas,Mediano,45-55,10-25,10-12,,Equilibrado Sociable Muy fiel Inteligente Activo Dócil,Niños Pisos Casas Caza Vigilancia,,Frío,Medio Duro Grueso,
Podenco portugués,Europa Portugal,Grupo V,,,,,,,,,,,,
Eurasier,Europa Alemania,Grupo V,Fino Proporcionado,Grande,45-55,10-25,10-12,Alta,Equilibrado Sociable Muy fiel Inteligente Cariñoso Tranquilo,Niños Pisos Casas Vigilancia,,Temperado,Largo,
Thai ridgeback,Asia Tailandia,Grupo V,Musculoso Proporcionado,Mediano,55-70,10-25,12-14,Alta,Tímido Muy fiel Activo,Casas Senderismo Caza Deporte,,Temperado,Corto Liso Fino,
Spitz finlandés (suomenpystykorva),Europa Finlandia,Grupo V,Musculoso Proporcionado Orejas cortas,Mediano,45-55,10-25,12-14,Alta,Equilibrado Sociable Inteligente Activo Cariñoso Dominante,Niños Casas Senderismo Caza Deporte,,Frío,Largo Duro Grueso,
Cazador de alces noruego o Elkhound,Europa Noruega,Grupo V,Rústico Musculoso Proporcionado,Mediano,45-55,10-25,10-12,Alta,Fuerte Sociable Muy fiel Inteligente Activo Cariñoso,Niños Casas Caza Vigilancia Deporte,,Frío,Medio Largo Liso Duro Grueso,
Xoloitzcuintle,América México,Grupo V,Fino Musculoso Proporcionado,Mediano,35-45,3-10,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Cariñoso Dócil,Niños Pisos Casas Vigilancia Personas alérgicas,,Caluroso,Sin pelo Corto,
Samoyedo,Asia Rusia,Grupo V,Musculoso Proporcionado Orejas largas,Mediano,55-70,10-25,12-14,Media,Equilibrado Sociable Cariñoso Tranquilo,Niños Pisos Casas Senderismo Deporte,Arnés,Frío,Largo Liso Grueso,
Spitz alemán,Europa Alemania,Grupo V,Proporcionado,Mediano,15-35,3-10,12-14,Baja,Sociable Muy fiel Activo Cariñoso,Pisos Casas Vigilancia,,Temperado,Largo Liso,
