nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Perdiguero frisón,"Europa Países Bajos, Holanda",Grupo VII,,Mediano,45-55,10-25,,,Sociable Inteligente Activo Cariñoso,Caza Pastor Deporte,,Temperado,Medio Rizado Liso,Alto
Perdiguero de Burgos,Europa España,Grupo VII,Rústico Musculoso Proporcionado Orejas largas,Grande,55-70,25-45,12-14,Alta,Muy fiel Tranquilo Dócil,Casas Senderismo Deporte,Arnés,Caluroso,Corto Liso,Medio
Perdiguero portugués,Europa Portugal,Grupo VII,Musculoso Proporcionado,Mediano,45-55,10-25,12-14,Alta,Inteligente Activo Cariñoso Tranquilo,Caza,,,Corto Duro,Bajo
Braco de Weimar o weimaraner,Europa Alemania,Grupo VII,Fino Musculoso Proporcionado Orejas cortas,Grande,55-70,25-45,10-12,Alta,Tímido Muy fiel Inteligente Activo Sumiso,Casas Senderismo Caza Vigilancia Deporte,Arnés,Temperado,Corto Largo Fino,
Braco de Borbón,Europa Francia,Grupo VII,Musculoso Proporcionado Orejas largas,Mediano,45-55,10-25,10-12,Media,Equilibrado Sociable Inteligente Cariñoso Dócil,Casas Senderismo Deporte,Arnés,Temperado,Corto Fino,Medio
Braco alemán de pelo corto,Europa Alemania,Grupo VII,Fino Musculoso Proporcionado,Grande,55-70,25-45,12-14,Alta,Sociable Muy fiel Inteligente Activo Cariñoso,Niños Pisos Senderismo Caza Deporte,,Temperado,Corto Duro Seco,
Gordon setter o setter escocés,Europa Reino Unido,Grupo VII,Musculoso Proporcionado Orejas largas,Grande,55-70,25-45,12-14,Alta,Tímido Inteligente Cariñoso Tranquilo,Niños Pisos Casas Senderismo Vigilancia Deporte,,Frío,Medio Fino,
Spaniel bretón,Europa Francia,Grupo VII,Musculoso Orejas cortas,Mediano,45-55,10-25,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Senderismo Caza Deporte,,Temperado,Medio Liso Fino,
Pointer inglés,Europa Reino Unido,Grupo VII,Musculoso Alargado,Mediano,55-70,25-45,12-14,Alta,Equilibrado Sociable Inteligente Activo,Niños Casas Senderismo Caza Deporte,,Temperado,Corto Liso Duro,
Podenco canario,Europa España,Grupo VII,Fino Musculoso Alargado,Mediano,45-55,10-25,12-14,Alta,Tímido Muy fiel Activo Dócil,Casas Senderismo Caza Deporte,,Caluroso,Corto Liso Fino,
Setter irlandés rojo y blanco,Europa Irlanda,Grupo VII,Musculoso Orejas largas,Mediano,55-70,25-45,10-12,Alta,Sociable Muy fiel Inteligente Activo Dócil,Niños Casas Senderismo Caza Personas con discapacidad Personas mayores Deporte,,,Medio Liso Fino,
Setter inglés,Europa Reino Unido,Grupo VII,Rústico Proporcionado Orejas largas,Grande,55-70,25-45,10-12,Alta,Equilibrado Sociable Inteligente Activo,Niños Pisos Casas Senderismo Caza Personas mayores Deporte,,Temperado,Largo,
Setter irlandés rojo,Europa Irlanda,Grupo VII,Proporcionado,Grande,55-70,25-45,12-14,Alta,Sociable Inteligente Activo Cariñoso Dócil,Niños Pisos Senderismo Caza,,Temperado,Largo Fino,
Braco francés tipo Pirineos y Gascuña,Europa Francia,Grupo VII,Rústico Musculoso Proporcionado Orejas largas,Grande,45-55,,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Dócil,Niños Casas Senderismo Caza Deporte,,Temperado,Corto Liso,
Braco italiano,Europa Italia,Grupo VII,Rústico Musculoso Patas cortas Orejas largas,Grande,55-70,25-45,12-14,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Dócil,Niños Casas Caza Vigilancia,,Temperado,Corto Liso Duro,
Braco húngaro o vizsla,Europa Hungría,Grupo VII,Fino Musculoso Alargado Orejas largas,Mediano,55-70,10-25,12-14,Alta,Equilibrado Inteligente Activo Cariñoso Tranquilo Dócil,Casas Senderismo Caza Deporte,Arnés,Temperado,Corto Duro Fino,
