nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Perdiguero alemán,Europa Alemania,Grupo VIII,Rústico Musculoso Alargado Orejas largas,Mediano,45-55,10-25,12-14,Alta,Muy fiel Activo,Pisos Casas Senderismo Deporte,Arnés,Temperado,Medio Grueso,Medio
Curly coated retriever o cobrador de pelo rizado,Europa Reino Unido,Grupo VIII,Fino Proporcionado Orejas cortas,Grande,55-70,25-45,12-14,Alta,,Casas Senderismo Deporte,Arnés,Temperado,Corto Rizado,Medio
Flat coated retriever o cobrador de pelo liso,Europa Reino Unido,Grupo VIII,Fino Musculoso Proporcionado Orejas largas,Grande,55-70,25-45,10-12,Alta,Equilibrado Muy fiel Inteligente Activo Cariñoso,Casas Senderismo Deporte,Arnés,Temperado,Medio Liso Fino,Bajo
Perro de agua irlandés,Europa Irlanda,Grupo VIII,Orejas largas,Grande,55-70,25-45,10-12,Alta,Tímido Muy fiel Inteligente Activo Dócil,Caza,,,Largo Rizado,
Cocker spaniel inglés,Europa Reino Unido,Grupo VIII,Musculoso Proporcionado Orejas largas,Mediano,35-45,10-25,12-14,Alta,Sociable Muy fiel Activo Cariñoso,Niños Pisos Casas Caza Deporte,,Temperado,Largo Liso Fino,
Clumber spaniel,Europa Francia,Grupo VIII,Rústico Musculoso Alargado Patas cortas Orejas largas,Mediano,45-55,25-45,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Cariñoso Tranquilo Dócil Sumiso,Niños Pisos Casas Senderismo Caza Personas mayores,Arnés,Temperado,Medio Largo Liso,
Perro de agua portugués,Europa Portugal,Grupo VIII,Rústico Musculoso Proporcionado Orejas cortas,Mediano,45-55,10-25,12-14,Alta,Sociable Muy fiel Inteligente Activo Dócil,Niños Casas Senderismo Personas alérgicas Deporte,,Temperado,Medio Largo Rizado Duro Grueso,
Labrador Retriever,América Canadá,Grupo VIII,Musculoso Proporcionado,Grande,55-70,25-45,10-12,Alta,Sociable Inteligente Activo Cariñoso,Niños Pisos Casas Senderismo Caza Personas con discapacidad,Arnés,Temperado,,
Barbet o perro de agua francés,Europa Francia,Grupo VIII,Rústico Musculoso Proporcionado Orejas largas,Mediano,55-70,25-45,10-12,Alta,Equilibrado Fuerte Sociable Inteligente Activo Dócil Sumiso,Niños Caza Pastor Deporte,Arnés,Frío,Rizado Grueso,
Springel spaniel inglés,Europa Reino Unido,Grupo VIII,Proporcionado Alargado Orejas largas,Mediano,45-55,10-25,12-14,Alta,Equilibrado Fuerte Sociable Muy fiel Inteligente Activo Cariñoso Tranquilo Dócil,Niños Casas Senderismo Caza Deporte,,Temperado,Medio Liso Fino Graso,
Golden retriever o cobrador dorado,Europa Reino Unido,Grupo VIII,Rústico Musculoso Proporcionado Orejas largas,Mediano,55-70,25-45,10-12,Alta,Equilibrado Sociable Activo Cariñoso,Niños Pisos Casas Senderismo Caza Personas con discapacidad,Arnés,Temperado,Largo,
Cocker spaniel americano,América Estados Unidos,Grupo VIII,Rústico Proporcionado Orejas largas,Mediano,35-45,10-25,12-14,Media,Equilibrado Sociable Muy fiel Inteligente Cariñoso Dócil,Niños Pisos Casas,,Temperado,Medio Largo Liso Fino,
Perro de agua español,Europa España,Grupo VIII,Rústico Musculoso Proporcionado,Mediano,45-55,10-25,12-14,Alta,Equilibrado Muy fiel Activo,Casas Senderismo Caza Pastor Deporte,,Temperado,Largo Rizado,
Nova Scotia duck tolling retriever,América Canadá,Grupo VIII,Musculoso,Mediano,45-55,10-25,12-14,Alta,Sociable Inteligente Activo Cariñoso Dócil,Niños Pisos Casas Senderismo,,Temperado,Medio Liso,
Chesapeake bay retriever o retriever de la bahía de Chesapeake,América Estados Unidos,Grupo VIII,Rústico Musculoso,Mediano,55-70,25-45,10-12,Alta,Sociable Inteligente Activo,Pisos Caza Vigilancia Deporte,Arnés,,Corto Grueso,
