nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
Whippet,Europa Reino Unido,Grupo X,Fino Alargado,Mediano,45-55,10-25,15-20,Alta,Equilibrado Tímido Pasivo Inteligente Tranquilo Dócil,Niños Pisos Casas Senderismo Caza Deporte,,Temperado,Corto Liso Fino,
Lobero irlandés,Europa Irlanda,Grupo X,Rústico Musculoso Alargado,Gigante,Más de 80,45-100,8-10,Alta,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso,Niños Pisos Casas Pastor Vigilancia Personas mayores,,Temperado,Largo Duro Grueso,
Lebrel escocés o deerhound,Europa Reino Unido,Grupo X,Fino,Gigante,70-80,45-100,8-10,Alta,Sociable Muy fiel Cariñoso Tranquilo,Niños Pisos Casas Senderismo,,Temperado,Largo Duro Grueso,
Galgo español,Europa España,Grupo X,Fino Proporcionado Orejas cortas,Grande,55-70,10-25,12-14,Alta,Tímido Sociable Activo Dócil,Pisos Senderismo Caza Deporte,,Temperado,Corto Liso Duro Fino,
Azawakh,África Malí Níger,Grupo X,Fino Musculoso Alargado,Mediano,55-70,25-45,12-14,Alta,Equilibrado Tímido Sociable Cariñoso Tranquilo Sumiso,Niños Pisos Casas Senderismo Caza Deporte,Arnés,Caluroso,Corto Liso Fino,
Sloughi o lebrel árabe,África Libia Marruecos Túnez,Grupo X,Fino Proporcionado,Grande,55-70,25-45,15-20,Alta,Tímido Muy fiel Inteligente Activo Cariñoso Dócil,Niños Casas Caza Vigilancia Deporte,,Temperado,Corto Liso Fino,
Galgo italiano o pequeño lebrel italiano,Europa Italia,Grupo X,Fino Musculoso Proporcionado Alargado,Pequeño,35-45,3-10,12-14,Media,Sociable Muy fiel Inteligente Cariñoso Tranquilo Dócil,Pisos Casas Personas mayores,,Caluroso,Corto Liso Fino,
Greyhound o galgo inglés,Europa Reino Unido,Grupo X,Fino Musculoso Orejas cortas,Grande,70-80,25-45,10-12,Alta,Tímido Dócil,Niños Pisos Senderismo Caza Deporte,,Temperado,Corto Fino,
Saluki,Asia Irán,Grupo X,Fino Proporcionado,Grande,55-70,25-45,12-14,Alta,Muy fiel Tranquilo Sumiso,Pisos Senderismo Caza Deporte,,Temperado,Medio Liso Fino,
Galgo Afgano,Asia Afganistán,Grupo X,Fino Alargado Orejas largas,Grande,55-70,10-25,12-14,Alta,Equilibrado Inteligente Activo,Pisos Casas Senderismo Caza Pastor,,Frío,Largo,
